sample_id	reference_id	reference_fasta	reference_format	reference_notes	reference_contigs	reference_total_bases	read1	read2	total_reads	mapped_reads	mapped_pct	properly_paired	properly_paired_pct	secondary	supplementary	singletons	singletons_pct	mate_diff_chr	idx_mapped_sum	idx_unmapped_sum	contigs_with_mapped_reads	top_mapped_contig	top_mapped_contig_reads
Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7	v_alginolyticus	reference/v_alginolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5146637	trimmomatic/trimmed_reads/Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	310980172	53701063	17.27 : N/A	43845936	14.12 : N/A	0	391630	8997619	2.90 : N/A	96318	53701063	257279109	2	NC_022349.1	47802775
Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7	v_ostreicida_PP203	reference/v_ostreicida_PP203_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate idxstats across all contigs.	33	4371716	trimmomatic/trimmed_reads/Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	310810346	28080982	9.03 : N/A	21430338	6.90 : N/A	0	221804	5680546	1.83 : N/A	708394	28080982	282729364	30	JABEYA020000002.1	5215023
Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7	v_ostreicida_r172	reference/v_ostreicida_r172_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate idxstats across all contigs.	81	4657173	trimmomatic/trimmed_reads/Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	310804122	28560208	9.19 : N/A	21626320	6.96 : N/A	0	215580	5906032	1.90 : N/A	789116	28560208	282243914	69	NZ_JBMDYP010000063.1	3168622
Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7	v_parahaemolyticus	reference/v_parahaemolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5165770	trimmomatic/trimmed_reads/Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	311052750	59338810	19.08 : N/A	47890948	15.42 : N/A	0	464208	10321008	3.32 : N/A	139152	59338810	251713940	2	NC_004603.1	52637771
Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7	v_vulnificus	reference/v_vulnificus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5007160	trimmomatic/trimmed_reads/Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	311626865	95264369	30.57 : N/A	78031590	25.12 : N/A	0	1038323	14027676	4.52 : N/A	161824	95264369	216362496	2	NZ_CP012881.1	79401322
Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7	v_alginolyticus	reference/v_alginolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5146637	trimmomatic/trimmed_reads/Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	245902381	2615800	1.06 : N/A	2018672	0.82 : N/A	0	39183	486203	0.20 : N/A	13000	2615800	243286581	2	NC_022349.1	2380796
Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7	v_ostreicida_PP203	reference/v_ostreicida_PP203_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate idxstats across all contigs.	33	4371716	trimmomatic/trimmed_reads/Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	245889527	2338207	0.95 : N/A	1772648	0.72 : N/A	0	26329	520426	0.21 : N/A	18412	2338207	243551320	31	JABEYA020000030.1	1132873
Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7	v_ostreicida_r172	reference/v_ostreicida_r172_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate idxstats across all contigs.	81	4657173	trimmomatic/trimmed_reads/Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	245889568	2413305	0.98 : N/A	1758510	0.72 : N/A	0	26370	596293	0.24 : N/A	29850	2413305	243476263	68	NZ_JBMDYP010000064.1	1148878
Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7	v_parahaemolyticus	reference/v_parahaemolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5165770	trimmomatic/trimmed_reads/Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	245903462	2622312	1.07 : N/A	2018770	0.82 : N/A	0	40264	490522	0.20 : N/A	15496	2622312	243281150	2	NC_004603.1	2225533
Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7	v_vulnificus	reference/v_vulnificus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5007160	trimmomatic/trimmed_reads/Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	245897908	2584655	1.05 : N/A	1928618	0.78 : N/A	0	34710	551877	0.22 : N/A	10018	2584655	243313253	2	NZ_CP012881.1	2323493
